Title,HE student enrolment FTE by HE provider and level of study,,,,
Location,UK,,,,
Time period,2016/17,,,,
Data source,HESA,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/table-2,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/table-2.csv,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,
Code page,"Unicode UTF-8 ",,,,
Disclaimer,"Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count. ",,,,
Table total,2556970,,,,
Last updated,Feb-18,,,,
,,,,,
UKPRN,HE provider,Country of HE provider,Region of HE provider,Level of study,Student count
10005790,Sheffield Hallam University,England,Yorkshire and The Humber,Other undergraduate,1370
10005790,Sheffield Hallam University,England,Yorkshire and The Humber,Total,26115
10005790,Sheffield Hallam University,All,All,Postgraduate research,345
10005790,Sheffield Hallam University,All,All,Postgraduate taught,2980
10005790,Sheffield Hallam University,All,All,First degree,21415
10005790,Sheffield Hallam University,All,All,Other undergraduate,1370
10005790,Sheffield Hallam University,All,All,Total,26115
10005790,Sheffield Hallam University,England,All,Postgraduate research,345
10005790,Sheffield Hallam University,England,All,Postgraduate taught,2980
10005790,Sheffield Hallam University,England,All,First degree,21415
10005790,Sheffield Hallam University,England,All,Other undergraduate,1370
10005790,Sheffield Hallam University,England,All,Total,26115
10007157,The University of Sheffield,England,Yorkshire and The Humber,Postgraduate research,2485
10007157,The University of Sheffield,England,Yorkshire and The Humber,Postgraduate taught,4835
10007157,The University of Sheffield,England,Yorkshire and The Humber,First degree,18810
10007157,The University of Sheffield,England,Yorkshire and The Humber,Other undergraduate,300
10007157,The University of Sheffield,England,Yorkshire and The Humber,Total,26430
10007157,The University of Sheffield,All,All,Postgraduate research,2485
10007157,The University of Sheffield,All,All,Postgraduate taught,4835
10007157,The University of Sheffield,All,All,First degree,18810
10007157,The University of Sheffield,All,All,Other undergraduate,300
10007157,The University of Sheffield,All,All,Total,26430
10007157,The University of Sheffield,England,All,Postgraduate research,2485
10007157,The University of Sheffield,England,All,Postgraduate taught,4835
10007157,The University of Sheffield,England,All,First degree,18810
10007157,The University of Sheffield,England,All,Other undergraduate,300
10007157,The University of Sheffield,England,All,Total,26430
10006022,Southampton Solent University,England,South East,Postgraduate research,40
10006022,Southampton Solent University,England,South East,Postgraduate taught,270
10006022,Southampton Solent University,England,South East,First degree,8580
10006022,Southampton Solent University,England,South East,Other undergraduate,945
10006022,Southampton Solent University,England,South East,Total,9840
10006022,Southampton Solent University,All,All,Postgraduate research,40
10006022,Southampton Solent University,All,All,Postgraduate taught,270
10006022,Southampton Solent University,All,All,First degree,8580
10006022,Southampton Solent University,All,All,Other undergraduate,945
10006022,Southampton Solent University,All,All,Total,9840
10006022,Southampton Solent University,England,All,Postgraduate research,40
10006022,Southampton Solent University,England,All,Postgraduate taught,270
10006022,Southampton Solent University,England,All,First degree,8580
10006022,Southampton Solent University,England,All,Other undergraduate,945
10006022,Southampton Solent University,England,All,Total,9840
10007158,The University of Southampton,England,South East,Postgraduate research,2640
10007158,The University of Southampton,England,South East,Postgraduate taught,3820
10007158,The University of Southampton,England,South East,First degree,17160
10007158,The University of Southampton,England,South East,Other undergraduate,40
10007158,The University of Southampton,England,South East,Total,23660
10007158,The University of Southampton,All,All,Postgraduate research,2640
10007158,The University of Southampton,All,All,Postgraduate taught,3820
10007158,The University of Southampton,All,All,First degree,17160
10007158,The University of Southampton,All,All,Other undergraduate,40
10007158,The University of Southampton,All,All,Total,23660
10007158,The University of Southampton,England,All,Postgraduate research,2640
10007158,The University of Southampton,England,All,Postgraduate taught,3820
10007158,The University of Southampton,England,All,First degree,17160
10007158,The University of Southampton,England,All,Other undergraduate,40
10007158,The University of Southampton,England,All,Total,23660
10006299,Staffordshire University,England,West Midlands,Postgraduate research,145
10006299,Staffordshire University,England,West Midlands,Postgraduate taught,620
10006299,Staffordshire University,England,West Midlands,First degree,7950
10006299,Staffordshire University,England,West Midlands,Other undergraduate,2010
10006299,Staffordshire University,England,West Midlands,Total,10725
10006299,Staffordshire University,All,All,Postgraduate research,145
10006299,Staffordshire University,All,All,Postgraduate taught,620
10006299,Staffordshire University,All,All,First degree,7950
10006299,Staffordshire University,All,All,Other undergraduate,2010
10006299,Staffordshire University,All,All,Total,10725
10006299,Staffordshire University,England,All,Postgraduate research,145
10006299,Staffordshire University,England,All,Postgraduate taught,620
10006299,Staffordshire University,England,All,First degree,7950
10006299,Staffordshire University,England,All,Other undergraduate,2010
10006299,Staffordshire University,England,All,Total,10725
10007804,The University of Stirling,All,All,Postgraduate research,355
10007804,The University of Stirling,All,All,Postgraduate taught,1310
10007804,The University of Stirling,All,All,First degree,7270
10007804,The University of Stirling,All,All,Other undergraduate,390
10007804,The University of Stirling,All,All,Total,9330
10007804,The University of Stirling,Scotland,All,Postgraduate research,355
10007804,The University of Stirling,Scotland,All,Postgraduate taught,1310
10007804,The University of Stirling,Scotland,All,First degree,7270
10007804,The University of Stirling,Scotland,All,Other undergraduate,390
10007804,The University of Stirling,Scotland,All,Total,9330
10037449,University of St Mark and St John,England,South West,Postgraduate research,0
10037449,University of St Mark and St John,England,South West,Postgraduate taught,250
10037449,University of St Mark and St John,England,South West,First degree,1770
10037449,University of St Mark and St John,England,South West,Other undergraduate,100
10037449,University of St Mark and St John,England,South West,Total,2125
10037449,University of St Mark and St John,All,All,Postgraduate research,0
10037449,University of St Mark and St John,All,All,Postgraduate taught,250
10037449,University of St Mark and St John,All,All,First degree,1770
10037449,University of St Mark and St John,All,All,Other undergraduate,100
10037449,University of St Mark and St John,All,All,Total,2125
10037449,University of St Mark and St John,England,All,Postgraduate research,0
10037449,University of St Mark and St John,England,All,Postgraduate taught,250
10037449,University of St Mark and St John,England,All,First degree,1770
10037449,University of St Mark and St John,England,All,Other undergraduate,100
10037449,University of St Mark and St John,England,All,Total,2125
10008010,Stranmillis University College,All,All,Postgraduate research,0
10008010,Stranmillis University College,All,All,Postgraduate taught,55
10008010,Stranmillis University College,All,All,First degree,950
10008010,Stranmillis University College,All,All,Other undergraduate,225
10008010,Stranmillis University College,All,All,Total,1230
10008010,Stranmillis University College,Northern Ireland,All,Postgraduate research,0
10008010,Stranmillis University College,Northern Ireland,All,Postgraduate taught,55
10008010,Stranmillis University College,Northern Ireland,All,First degree,950
10008010,Stranmillis University College,Northern Ireland,All,Other undergraduate,225
10008010,Stranmillis University College,Northern Ireland,All,Total,1230
10007805,The University of Strathclyde,All,All,Postgraduate research,1485
10007805,The University of Strathclyde,All,All,Postgraduate taught,3810
10007805,The University of Strathclyde,All,All,First degree,12945
10007805,The University of Strathclyde,All,All,Other undergraduate,225
10007805,The University of Strathclyde,All,All,Total,18465
10007805,The University of Strathclyde,Scotland,All,Postgraduate research,1485
10007805,The University of Strathclyde,Scotland,All,Postgraduate taught,3810
10007805,The University of Strathclyde,Scotland,All,First degree,12945
10007805,The University of Strathclyde,Scotland,All,Other undergraduate,225
10007805,The University of Strathclyde,Scotland,All,Total,18465
10014001,University of Suffolk,England,East of England,Postgraduate research,10
10014001,University of Suffolk,England,East of England,Postgraduate taught,170
10014001,University of Suffolk,England,East of England,First degree,2905
10014001,University of Suffolk,England,East of England,Other undergraduate,915
10014001,University of Suffolk,England,East of England,Total,3995
10014001,University of Suffolk,All,All,Postgraduate research,10
10014001,University of Suffolk,All,All,Postgraduate taught,170
10014001,University of Suffolk,All,All,First degree,2905
10014001,University of Suffolk,All,All,Other undergraduate,915
10014001,University of Suffolk,All,All,Total,3995
10014001,University of Suffolk,England,All,Postgraduate research,10
10014001,University of Suffolk,England,All,Postgraduate taught,170
10014001,University of Suffolk,England,All,First degree,2905
10014001,University of Suffolk,England,All,Other undergraduate,915
10014001,University of Suffolk,England,All,Total,3995
10007159,The University of Sunderland,England,North East,Postgraduate research,125
10007159,The University of Sunderland,England,North East,Postgraduate taught,1340
10007159,The University of Sunderland,England,North East,First degree,8240
10007159,The University of Sunderland,England,North East,Other undergraduate,850
10007159,The University of Sunderland,England,North East,Total,10555
10007159,The University of Sunderland,All,All,Postgraduate research,125
10007159,The University of Sunderland,All,All,Postgraduate taught,1340
10007159,The University of Sunderland,All,All,First degree,8240
10007159,The University of Sunderland,All,All,Other undergraduate,850
10007159,The University of Sunderland,All,All,Total,10555
10007159,The University of Sunderland,England,All,Postgraduate research,125
10007159,The University of Sunderland,England,All,Postgraduate taught,1340
10007159,The University of Sunderland,England,All,First degree,8240
10007159,The University of Sunderland,England,All,Other undergraduate,850
10007159,The University of Sunderland,England,All,Total,10555
10007160,The University of Surrey,England,South East,Postgraduate research,850
10007160,The University of Surrey,England,South East,Postgraduate taught,1870
10007160,The University of Surrey,England,South East,First degree,11095
10007160,The University of Surrey,England,South East,Other undergraduate,250
10007160,The University of Surrey,England,South East,Total,14060
10007160,The University of Surrey,All,All,Postgraduate research,850
10007160,The University of Surrey,All,All,Postgraduate taught,1870
10007160,The University of Surrey,All,All,First degree,11095
10007160,The University of Surrey,All,All,Other undergraduate,250
10007160,The University of Surrey,All,All,Total,14060
10007160,The University of Surrey,England,All,Postgraduate research,850
10007160,The University of Surrey,England,All,Postgraduate taught,1870
10007160,The University of Surrey,England,All,First degree,11095
10007160,The University of Surrey,England,All,Other undergraduate,250
10007160,The University of Surrey,England,All,Total,14060
10007806,The University of Sussex,England,South East,Postgraduate research,895
10007806,The University of Sussex,England,South East,Postgraduate taught,3240
10007806,The University of Sussex,England,South East,First degree,11740
10007806,The University of Sussex,England,South East,Other undergraduate,25
10007806,The University of Sussex,England,South East,Total,15900
10007806,The University of Sussex,All,All,Postgraduate research,895
10007806,The University of Sussex,All,All,Postgraduate taught,3240
10007806,The University of Sussex,All,All,First degree,11740
10007806,The University of Sussex,All,All,Other undergraduate,25
10007806,The University of Sussex,All,All,Total,15900
10007806,The University of Sussex,England,All,Postgraduate research,895
10007806,The University of Sussex,England,All,Postgraduate taught,3240
10007806,The University of Sussex,England,All,First degree,11740
10007806,The University of Sussex,England,All,Other undergraduate,25
10007806,The University of Sussex,England,All,Total,15900
10007855,Swansea University,All,All,Postgraduate research,840
10007855,Swansea University,All,All,Postgraduate taught,1410
10007855,Swansea University,All,All,First degree,13520
10007855,Swansea University,All,All,Other undergraduate,535
10007855,Swansea University,All,All,Total,16305
10007855,Swansea University,Wales,All,Postgraduate research,840
10007855,Swansea University,Wales,All,Postgraduate taught,1410
10007855,Swansea University,Wales,All,First degree,13520
10007855,Swansea University,Wales,All,Other undergraduate,535
10007855,Swansea University,Wales,All,Total,16305
10007161,Teesside University,England,North East,Postgraduate research,155
10007161,Teesside University,England,North East,Postgraduate taught,1280
10007161,Teesside University,England,North East,First degree,9705
10007161,Teesside University,England,North East,Other undergraduate,2285
10007161,Teesside University,England,North East,Total,13430
10007161,Teesside University,All,All,Postgraduate research,155
10007161,Teesside University,All,All,Postgraduate taught,1280
10007161,Teesside University,All,All,First degree,9705
10007161,Teesside University,All,All,Other undergraduate,2285
10007161,Teesside University,All,All,Total,13430
10007161,Teesside University,England,All,Postgraduate research,155
10007161,Teesside University,England,All,Postgraduate taught,1280
10007161,Teesside University,England,All,First degree,9705
10007161,Teesside University,England,All,Other undergraduate,2285
10007161,Teesside University,England,All,Total,13430
10008017,Trinity Laban Conservatoire of Music and Dance,England,London,Postgraduate research,10
10008017,Trinity Laban Conservatoire of Music and Dance,England,London,Postgraduate taught,190
10008017,Trinity Laban Conservatoire of Music and Dance,England,London,First degree,720
10008017,Trinity Laban Conservatoire of Music and Dance,England,London,Other undergraduate,15
10008017,Trinity Laban Conservatoire of Music and Dance,England,London,Total,930
10008017,Trinity Laban Conservatoire of Music and Dance,All,All,Postgraduate research,10
10008017,Trinity Laban Conservatoire of Music and Dance,All,All,Postgraduate taught,190
10008017,Trinity Laban Conservatoire of Music and Dance,All,All,First degree,720
10008017,Trinity Laban Conservatoire of Music and Dance,All,All,Other undergraduate,15
10008017,Trinity Laban Conservatoire of Music and Dance,All,All,Total,930
10008017,Trinity Laban Conservatoire of Music and Dance,England,All,Postgraduate research,10
10008017,Trinity Laban Conservatoire of Music and Dance,England,All,Postgraduate taught,190
10008017,Trinity Laban Conservatoire of Music and Dance,England,All,First degree,720
10008017,Trinity Laban Conservatoire of Music and Dance,England,All,Other undergraduate,15
10008017,Trinity Laban Conservatoire of Music and Dance,England,All,Total,930
10007858,University of Wales Trinity Saint David,All,All,Postgraduate research,185
10007858,University of Wales Trinity Saint David,All,All,Postgraduate taught,910
10007858,University of Wales Trinity Saint David,All,All,First degree,4945
10007858,University of Wales Trinity Saint David,All,All,Other undergraduate,1770
10007858,University of Wales Trinity Saint David,All,All,Total,7805
10007858,University of Wales Trinity Saint David,Wales,All,Postgraduate research,185
10007858,University of Wales Trinity Saint David,Wales,All,Postgraduate taught,910
10007858,University of Wales Trinity Saint David,Wales,All,First degree,4945
10007858,University of Wales Trinity Saint David,Wales,All,Other undergraduate,1770
10007858,University of Wales Trinity Saint David,Wales,All,Total,7805
10007114,University of the Highlands and Islands,All,All,Postgraduate research,75
10007114,University of the Highlands and Islands,All,All,Postgraduate taught,305
10007114,University of the Highlands and Islands,All,All,First degree,3005
10007114,University of the Highlands and Islands,All,All,Other undergraduate,3235
10007114,University of the Highlands and Islands,All,All,Total,6620
10007114,University of the Highlands and Islands,Scotland,All,Postgraduate research,75
10007114,University of the Highlands and Islands,Scotland,All,Postgraduate taught,305
10007114,University of the Highlands and Islands,Scotland,All,First degree,3005
10007114,University of the Highlands and Islands,Scotland,All,Other undergraduate,3235
10007114,University of the Highlands and Islands,Scotland,All,Total,6620
10007807,University of Ulster,All,All,Postgraduate research,465
10007807,University of Ulster,All,All,Postgraduate taught,2195
10007807,University of Ulster,All,All,First degree,16395
10007807,University of Ulster,All,All,Other undergraduate,465
10007807,University of Ulster,All,All,Total,19525
10007807,University of Ulster,Northern Ireland,All,Postgraduate research,465
10007807,University of Ulster,Northern Ireland,All,Postgraduate taught,2195
10007807,University of Ulster,Northern Ireland,All,First degree,16395
10007807,University of Ulster,Northern Ireland,All,Other undergraduate,465
10007807,University of Ulster,Northern Ireland,All,Total,19525
10007784,University College London,England,London,Postgraduate research,4985
10007784,University College London,England,London,Postgraduate taught,10230
10007784,University College London,England,London,First degree,16970
10007784,University College London,England,London,Other undergraduate,610
10007784,University College London,England,London,Total,32795
10007784,University College London,All,All,Postgraduate research,4985
10007784,University College London,All,All,Postgraduate taught,10230
10007784,University College London,All,All,First degree,16970
10007784,University College London,All,All,Other undergraduate,610
10007784,University College London,All,All,Total,32795
10007784,University College London,England,All,Postgraduate research,4985
10007784,University College London,England,All,Postgraduate taught,10230
10007784,University College London,England,All,First degree,16970
10007784,University College London,England,All,Other undergraduate,610
10007784,University College London,England,All,Total,32795
10007793,University of South Wales,All,All,Postgraduate research,190
10007793,University of South Wales,All,All,Postgraduate taught,1730
10007793,University of South Wales,All,All,First degree,12235
10007793,University of South Wales,All,All,Other undergraduate,3745
10007793,University of South Wales,All,All,Total,17905
10007793,University of South Wales,Wales,All,Postgraduate research,190
10007793,University of South Wales,Wales,All,Postgraduate taught,1730
10007793,University of South Wales,Wales,All,First degree,12235
10007793,University of South Wales,Wales,All,Other undergraduate,3745
10007793,University of South Wales,Wales,All,Total,17905
10008574,The University of Wales (central functions),All,All,Postgraduate research,5
10008574,The University of Wales (central functions),All,All,Postgraduate taught,0
10008574,The University of Wales (central functions),All,All,First degree,0
10008574,The University of Wales (central functions),All,All,Other undergraduate,0
10008574,The University of Wales (central functions),All,All,Total,5
10008574,The University of Wales (central functions),Wales,All,Postgraduate research,5
10008574,The University of Wales (central functions),Wales,All,Postgraduate taught,0
10008574,The University of Wales (central functions),Wales,All,First degree,0
10008574,The University of Wales (central functions),Wales,All,Other undergraduate,0
10008574,The University of Wales (central functions),Wales,All,Total,5
10007163,The University of Warwick,England,West Midlands,Postgraduate research,1580
10007163,The University of Warwick,England,West Midlands,Postgraduate taught,4755
10007163,The University of Warwick,England,West Midlands,First degree,14550
10007163,The University of Warwick,England,West Midlands,Other undergraduate,265
10007163,The University of Warwick,England,West Midlands,Total,21150
10007163,The University of Warwick,All,All,Postgraduate research,1580
10007163,The University of Warwick,All,All,Postgraduate taught,4755
10007163,The University of Warwick,All,All,First degree,14550
10007163,The University of Warwick,All,All,Other undergraduate,265
10007163,The University of Warwick,All,All,Total,21150
10007163,The University of Warwick,England,All,Postgraduate research,1580
10007163,The University of Warwick,England,All,Postgraduate taught,4755
10007163,The University of Warwick,England,All,First degree,14550
10007163,The University of Warwick,England,All,Other undergraduate,265
10007163,The University of Warwick,England,All,Total,21150
10007164,"University of the West of England, Bristol",England,South West,Postgraduate research,310
10007164,"University of the West of England, Bristol",England,South West,Postgraduate taught,2820
10007164,"University of the West of England, Bristol",England,South West,First degree,18545
10007164,"University of the West of England, Bristol",England,South West,Other undergraduate,740
10007164,"University of the West of England, Bristol",England,South West,Total,22415
10007164,"University of the West of England, Bristol",All,All,Postgraduate research,310
10007164,"University of the West of England, Bristol",All,All,Postgraduate taught,2820
10007164,"University of the West of England, Bristol",All,All,First degree,18545
10007164,"University of the West of England, Bristol",All,All,Other undergraduate,740
10007164,"University of the West of England, Bristol",All,All,Total,22415
10007164,"University of the West of England, Bristol",England,All,Postgraduate research,310
10007164,"University of the West of England, Bristol",England,All,Postgraduate taught,2820
10007164,"University of the West of England, Bristol",England,All,First degree,18545
10007164,"University of the West of England, Bristol",England,All,Other undergraduate,740
10007164,"University of the West of England, Bristol",England,All,Total,22415
10007800,The University of the West of Scotland,All,All,Postgraduate research,350
10007800,The University of the West of Scotland,All,All,Postgraduate taught,1540
10007800,The University of the West of Scotland,All,All,First degree,10615
10007800,The University of the West of Scotland,All,All,Other undergraduate,450
10007800,The University of the West of Scotland,All,All,Total,12960
10007800,The University of the West of Scotland,Scotland,All,Postgraduate research,350
10007800,The University of the West of Scotland,Scotland,All,Postgraduate taught,1540
10007800,The University of the West of Scotland,Scotland,All,First degree,10615
10007800,The University of the West of Scotland,Scotland,All,Other undergraduate,450
10007800,The University of the West of Scotland,Scotland,All,Total,12960
10006566,The University of West London,England,London,Postgraduate research,85
10006566,The University of West London,England,London,Postgraduate taught,735
10006566,The University of West London,England,London,First degree,6890
10006566,The University of West London,England,London,Other undergraduate,595
10006566,The University of West London,England,London,Total,8310
10006566,The University of West London,All,All,Postgraduate research,85
10006566,The University of West London,All,All,Postgraduate taught,735
10006566,The University of West London,All,All,First degree,6890
10006566,The University of West London,All,All,Other undergraduate,595
10006566,The University of West London,All,All,Total,8310
10006566,The University of West London,England,All,Postgraduate research,85
10006566,The University of West London,England,All,Postgraduate taught,735
10006566,The University of West London,England,All,First degree,6890
10006566,The University of West London,England,All,Other undergraduate,595
10006566,The University of West London,England,All,Total,8310
10007165,The University of Westminster,England,London,Postgraduate research,215
10007165,The University of Westminster,England,London,Postgraduate taught,2795
10007165,The University of Westminster,England,London,First degree,12785
10007165,The University of Westminster,England,London,Other undergraduate,775
10007165,The University of Westminster,England,London,Total,16570
10007165,The University of Westminster,All,All,Postgraduate research,215
10007165,The University of Westminster,All,All,Postgraduate taught,2795
10007165,The University of Westminster,All,All,First degree,12785
10007165,The University of Westminster,All,All,Other undergraduate,775
10007165,The University of Westminster,All,All,Total,16570
10007165,The University of Westminster,England,All,Postgraduate research,215
10007165,The University of Westminster,England,All,Postgraduate taught,2795
10007165,The University of Westminster,England,All,First degree,12785
10007165,The University of Westminster,England,All,Other undergraduate,775
10007165,The University of Westminster,England,All,Total,16570
10003614,The University of Winchester,England,South East,Postgraduate research,110
10003614,The University of Winchester,England,South East,Postgraduate taught,595
10003614,The University of Winchester,England,South East,First degree,5915
10003614,The University of Winchester,England,South East,Other undergraduate,85
10003614,The University of Winchester,England,South East,Total,6705
10003614,The University of Winchester,All,All,Postgraduate research,110
10003614,The University of Winchester,All,All,Postgraduate taught,595
10003614,The University of Winchester,All,All,First degree,5915
10003614,The University of Winchester,All,All,Other undergraduate,85
10003614,The University of Winchester,All,All,Total,6705
10003614,The University of Winchester,England,All,Postgraduate research,110
10003614,The University of Winchester,England,All,Postgraduate taught,595
10003614,The University of Winchester,England,All,First degree,5915
10003614,The University of Winchester,England,All,Other undergraduate,85
10003614,The University of Winchester,England,All,Total,6705
10007166,The University of Wolverhampton,England,West Midlands,Postgraduate research,235
10007166,The University of Wolverhampton,England,West Midlands,Postgraduate taught,1775
10007166,The University of Wolverhampton,England,West Midlands,First degree,12985
10007166,The University of Wolverhampton,England,West Midlands,Other undergraduate,1120
10007166,The University of Wolverhampton,England,West Midlands,Total,16110
10007166,The University of Wolverhampton,All,All,Postgraduate research,235
10007166,The University of Wolverhampton,All,All,Postgraduate taught,1775
10007166,The University of Wolverhampton,All,All,First degree,12985
10007166,The University of Wolverhampton,All,All,Other undergraduate,1120
10007166,The University of Wolverhampton,All,All,Total,16110
10007166,The University of Wolverhampton,England,All,Postgraduate research,235
10007166,The University of Wolverhampton,England,All,Postgraduate taught,1775
10007166,The University of Wolverhampton,England,All,First degree,12985
10007166,The University of Wolverhampton,England,All,Other undergraduate,1120
10007166,The University of Wolverhampton,England,All,Total,16110
10007139,University of Worcester,England,West Midlands,Postgraduate research,80
10007139,University of Worcester,England,West Midlands,Postgraduate taught,780
10007139,University of Worcester,England,West Midlands,First degree,6190
10007139,University of Worcester,England,West Midlands,Other undergraduate,1815
10007139,University of Worcester,England,West Midlands,Total,8865
10007139,University of Worcester,All,All,Postgraduate research,80
10007139,University of Worcester,All,All,Postgraduate taught,780
10007139,University of Worcester,All,All,First degree,6190
10007139,University of Worcester,All,All,Other undergraduate,1815
10007139,University of Worcester,All,All,Total,8865
10007139,University of Worcester,England,All,Postgraduate research,80
10007139,University of Worcester,England,All,Postgraduate taught,780
10007139,University of Worcester,England,All,First degree,6190
10007139,University of Worcester,England,All,Other undergraduate,1815
10007139,University of Worcester,England,All,Total,8865
10007657,Writtle University College,England,East of England,Postgraduate research,0
10007657,Writtle University College,England,East of England,Postgraduate taught,50
10007657,Writtle University College,England,East of England,First degree,565
10007657,Writtle University College,England,East of England,Other undergraduate,100
10007657,Writtle University College,England,East of England,Total,720
10007657,Writtle University College,All,All,Postgraduate research,0
10007657,Writtle University College,All,All,Postgraduate taught,50
10007657,Writtle University College,All,All,First degree,565
10007657,Writtle University College,All,All,Other undergraduate,100
10007657,Writtle University College,All,All,Total,720
10007657,Writtle University College,England,All,Postgraduate research,0
10007657,Writtle University College,England,All,Postgraduate taught,50
10007657,Writtle University College,England,All,First degree,565
10007657,Writtle University College,England,All,Other undergraduate,100
10007657,Writtle University College,England,All,Total,720
10007713,York St John University,England,Yorkshire and The Humber,Postgraduate research,55
10007713,York St John University,England,Yorkshire and The Humber,Postgraduate taught,400
10007713,York St John University,England,Yorkshire and The Humber,First degree,4515
10007713,York St John University,England,Yorkshire and The Humber,Other undergraduate,135
10007713,York St John University,England,Yorkshire and The Humber,Total,5105
10007713,York St John University,All,All,Postgraduate research,55
10007713,York St John University,All,All,Postgraduate taught,400
10007713,York St John University,All,All,First degree,4515
10007713,York St John University,All,All,Other undergraduate,135
10007713,York St John University,All,All,Total,5105
10007713,York St John University,England,All,Postgraduate research,55
10007713,York St John University,England,All,Postgraduate taught,400
10007713,York St John University,England,All,First degree,4515
10007713,York St John University,England,All,Other undergraduate,135
10007713,York St John University,England,All,Total,5105
10007167,The University of York,England,Yorkshire and The Humber,Postgraduate research,1335
10007167,The University of York,England,Yorkshire and The Humber,Postgraduate taught,2340
10007167,The University of York,England,Yorkshire and The Humber,First degree,12345
10007167,The University of York,England,Yorkshire and The Humber,Other undergraduate,220
10007167,The University of York,England,Yorkshire and The Humber,Total,16240
10007167,The University of York,All,All,Postgraduate research,1335
10007167,The University of York,All,All,Postgraduate taught,2340
10007167,The University of York,All,All,First degree,12345
10007167,The University of York,All,All,Other undergraduate,220
10007167,The University of York,All,All,Total,16240
10007167,The University of York,England,All,Postgraduate research,1335
10007167,The University of York,England,All,Postgraduate taught,2340
10007167,The University of York,England,All,First degree,12345
10007167,The University of York,England,All,Other undergraduate,220
10007167,The University of York,England,All,Total,16240
,Total,All,All,Postgraduate research,100560
,Total,All,All,Postgraduate taught,271940
,Total,All,All,First degree,1480490
,Total,All,All,Other undergraduate,80840
,Total,All,All,Total,1933835
,Total,England,All,Postgraduate research,82930
,Total,England,All,Postgraduate taught,226145
,Total,England,All,First degree,1221045
,Total,England,All,Other undergraduate,60445
,Total,England,All,Total,1590570
,Total,England,East Midlands,Postgraduate research,6625
,Total,England,East Midlands,Postgraduate taught,15985
,Total,England,East Midlands,First degree,115660
,Total,England,East Midlands,Other undergraduate,4530
,Total,England,East Midlands,Total,142795
,Total,England,East of England,Postgraduate research,8565
,Total,England,East of England,Postgraduate taught,14230
,Total,England,East of England,First degree,78075
,Total,England,East of England,Other undergraduate,5505
,Total,England,East of England,Total,106370
,Total,England,London,Postgraduate research,18770
,Total,England,London,Postgraduate taught,66715
,Total,England,London,First degree,211990
,Total,England,London,Other undergraduate,10490
,Total,England,London,Total,307970
,Total,England,North East,Postgraduate research,4210
,Total,England,North East,Postgraduate taught,11040
,Total,England,North East,First degree,67470
,Total,England,North East,Other undergraduate,4690
,Total,England,North East,Total,87415
,Total,England,North West,Postgraduate research,9485
,Total,England,North West,Postgraduate taught,25410
,Total,England,North West,First degree,159880
,Total,England,North West,Other undergraduate,5660
,Total,England,North West,Total,200435
,Total,England,South East,Postgraduate research,14635
,Total,England,South East,Postgraduate taught,31130
,Total,England,South East,First degree,210265
,Total,England,South East,Other undergraduate,11120
,Total,England,South East,Total,267150
,Total,England,South West,Postgraduate research,5835
,Total,England,South West,Postgraduate taught,15150
,Total,England,South West,First degree,118515
,Total,England,South West,Other undergraduate,3590
,Total,England,South West,Total,143095
,Total,England,West Midlands,Postgraduate research,5925
,Total,England,West Midlands,Postgraduate taught,24255
,Total,England,West Midlands,First degree,125510
,Total,England,West Midlands,Other undergraduate,11170
,Total,England,West Midlands,Total,166860
,Total,England,Yorkshire and The Humber,Postgraduate research,8875
,Total,England,Yorkshire and The Humber,Postgraduate taught,22235
,Total,England,Yorkshire and The Humber,First degree,133685
,Total,England,Yorkshire and The Humber,Other undergraduate,3690
,Total,England,Yorkshire and The Humber,Total,168485
,Total,Northern Ireland,All,Postgraduate research,1895
,Total,Northern Ireland,All,Postgraduate taught,4420
,Total,Northern Ireland,All,First degree,34295
,Total,Northern Ireland,All,Other undergraduate,1835
,Total,Northern Ireland,All,Total,42440
,Total,Scotland,All,Postgraduate research,11685
,Total,Scotland,All,Postgraduate taught,29910
,Total,Scotland,All,First degree,148150
,Total,Scotland,All,Other undergraduate,8955
,Total,Scotland,All,Total,198705
,Total,Wales,All,Postgraduate research,4050
,Total,Wales,All,Postgraduate taught,11470
,Total,Wales,All,First degree,76995
,Total,Wales,All,Other undergraduate,9605
,Total,Wales,All,Total,102120
