﻿Title:,Table T1 – Participation of under-represented groups in higher education
Subtitle:,UK domiciled young full-time undergraduate entrants 2016/17
Reference ID:,UKPIs Table T1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/ukpis/widening-participation/table-t1
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2018
Filters:,Country of HE provider,Choose a value... 
,Level of study,First degree (T1a) 
Search:,


"UKPRN","HE provider","Total full-time entrants","Number who are young","Percentage who are young","Number with known school data","Percentage with known school data","Number from state schools or colleges","Percentage from state schools or colleges","Benchmark (%)","Standard deviation (%)","+/-","Location adjusted benchmark (%)","Standard deviation (%)","+/-","HE provider average contribution to benchmark (%)","HE provider average contribution to benchmark - Location adjusted (%)","Average number of HE providers in comparison","Average number of HE providers in comparison - Location adjusted"
"10001478","City, University of London","2,330","1,940","83.2","1,885","97.3","1,740","92.2","91.7","0.64","","90.0","0.60","","2.0","7.2","92.3","48.4"
"10001653","Conservatoire for Dance and Drama","225","180","79.5","150","84.8","140","92.7","94.3","2.22","","93.9","2.09","","1.5","3.8","108.6","52.2"
"10007761","Courtauld Institute of Art","65","60","95.3","60","98.4","35","55.0","72.1","5.59","-","66.9","5.23","","0.8","2.3","65.5","33.1"
"10001726","Coventry University","5,315","4,340","81.7","4,275","98.4","4,130","96.7","94.4","0.37","","94.1","0.36","","2.6","6.2","97.7","52.9"
"10007822","Cranfield University","0","0","","0","","0","","","","","","","","","","",""
"10006427","University for the Creative Arts","1,455","1,225","84.3","1,200","98.1","1,155","96.3","94.4","0.71","","93.1","0.69","+","3.5","7.2","114.6","69.1"
"10007842","University of Cumbria","1,595","1,025","64.2","1,020","99.3","990","97.0","96.0","0.75","","96.9","0.72","","1.3","6.0","92.1","40.8"
"10001883","De Montfort University","5,770","4,880","84.6","4,855","99.5","4,715","97.2","95.2","0.34","","95.2","0.33","","3.2","8.3","97.0","50.4"
"10007851","University of Derby","3,850","2,685","69.8","2,665","99.2","2,600","97.5","95.7","0.46","","96.0","0.44","","3.2","8.6","92.3","45.2"
"10007852","The University of Dundee","2,350","1,830","77.8","1,810","99.0","1,680","92.9","89.3","0.64","+","","","","2.6","","82.1",""
"10007143","University of Durham","3,490","3,290","94.3","3,245","98.8","2,045","62.9","75.0","0.70","-","74.9","0.67","-","6.6","9.0","64.0","28.7"
"10007789","The University of East Anglia","3,375","2,940","87.1","2,910","98.9","2,640","90.8","87.8","0.54","","86.7","0.51","+","1.8","5.4","90.3","46.7"
"10007144","The University of East London","3,075","1,705","55.5","1,450","84.9","1,415","97.7","96.8","0.62","","96.1","0.60","","1.3","4.7","96.3","59.2"
"10007823","Edge Hill University","3,675","2,710","73.8","2,690","99.3","2,655","98.6","96.0","0.44","","97.5","0.42","","2.0","10.0","98.9","48.7"
"10007772","Edinburgh Napier University","2,735","1,820","66.5","1,800","98.8","1,700","94.5","90.7","0.62","+","","","","2.6","","94.2",""
"10007790","The University of Edinburgh","3,960","3,695","93.3","3,640","98.5","2,415","66.4","78.3","0.65","-","","","","4.4","","70.1",""
"10007791","The University of Essex","2,640","2,255","85.5","2,245","99.6","2,160","96.1","93.2","0.53","","92.3","0.51","+","1.9","4.7","98.4","52.5"
"10007792","The University of Exeter","4,445","4,155","93.5","4,075","98.0","2,825","69.4","79.0","0.60","-","76.9","0.57","-","5.0","8.8","75.5","36.0"
"10008640","Falmouth University","1,825","1,595","87.4","1,575","98.6","1,475","93.7","93.5","0.67","","93.1","0.64","","3.0","6.9","107.1","55.6"
"10004511","The National Film and Television School","0","0","","0","","0","","","","","","","","","","",""
"10007762","Glasgow Caledonian University","3,175","2,050","64.5","2,040","99.7","1,985","97.2","91.1","0.53","+","","","","4.9","","91.3",""
"10002681","Glasgow School of Art","305","240","77.9","235","99.2","215","91.6","88.7","1.84","","","","","1.6","","99.6",""
"10007794","The University of Glasgow","3,675","3,115","84.9","3,045","97.8","2,595","85.2","83.4","0.57","","","","","6.3","","67.0",""
"10007145","University of Gloucestershire","2,320","1,855","80.1","1,835","98.8","1,765","96.2","95.0","0.58","","94.7","0.56","","1.3","5.1","101.8","50.8"
"10007833","Glyndŵr University","865","315","36.2","305","97.8","305","100.0","96.1","1.24","+","","","","1.2","","86.2",""
