Title,"HE qualifiers by HE provider, level of qualification obtained and classification of first degree",,,,,
Location,UK,,,,,
Time period,2016/17,,,,,
Data source,HESA,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/table-16,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8 ,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count. ,,,,,
Table total,757300,,,,,
Last updated,Feb-18,,,,,
,,,,,,
UKPRN,HE provider,Country of HE provider,Region of HE provider,Qualification/Classification marker,Level of qualification/Degree classification,Student count
10007783,The University of Aberdeen,All,All,Level of qualification,Other postgraduate research,25
10007783,The University of Aberdeen,All,All,Level of qualification,Postgraduate certificate in education,320
10007783,The University of Aberdeen,All,All,Level of qualification,Other postgraduate taught,350
10007783,The University of Aberdeen,All,All,Level of qualification,First degree,1720
10007783,The University of Aberdeen,All,All,Level of qualification,Foundation degree,0
10007783,The University of Aberdeen,All,All,Level of qualification,HNC/HND,0
10007783,The University of Aberdeen,All,All,Level of qualification,Masters taught,1225
10007783,The University of Aberdeen,All,All,Level of qualification,Doctorate research,215
10007783,The University of Aberdeen,All,All,Level of qualification,Professional graduate certificate in education,0
10007783,The University of Aberdeen,All,All,Level of qualification,Other undergraduate,140
10007783,The University of Aberdeen,All,All,Level of qualification,Total,3995
10007783,The University of Aberdeen,All,All,First degree classification,First class honours,405
10007783,The University of Aberdeen,All,All,First degree classification,Upper second class honours,770
10007783,The University of Aberdeen,All,All,First degree classification,Lower second class honours,185
10007783,The University of Aberdeen,All,All,First degree classification,Third class honours/Pass,15
10007783,The University of Aberdeen,All,All,First degree classification,Unclassified,340
10007783,The University of Aberdeen,All,All,First degree classification,Classification not applicable,2275
10007783,The University of Aberdeen,All,All,Level of qualification,Total undergraduate,1860
10007783,The University of Aberdeen,All,All,Level of qualification,Total postgraduate,2135
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Other postgraduate research,25
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Postgraduate certificate in education,320
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Other postgraduate taught,350
10007783,The University of Aberdeen,Scotland,All,Level of qualification,First degree,1720
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Foundation degree,0
10007783,The University of Aberdeen,Scotland,All,Level of qualification,HNC/HND,0
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Masters taught,1225
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Doctorate research,215
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Professional graduate certificate in education,0
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Other undergraduate,140
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Total,3995
10007783,The University of Aberdeen,Scotland,All,First degree classification,First class honours,405
10007783,The University of Aberdeen,Scotland,All,First degree classification,Upper second class honours,770
10007783,The University of Aberdeen,Scotland,All,First degree classification,Lower second class honours,185
10007783,The University of Aberdeen,Scotland,All,First degree classification,Third class honours/Pass,15
10007783,The University of Aberdeen,Scotland,All,First degree classification,Unclassified,340
10007783,The University of Aberdeen,Scotland,All,First degree classification,Classification not applicable,2275
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Total undergraduate,1860
10007783,The University of Aberdeen,Scotland,All,Level of qualification,Total postgraduate,2135
10007849,University of Abertay Dundee,All,All,Level of qualification,Other postgraduate research,0
10007849,University of Abertay Dundee,All,All,Level of qualification,Postgraduate certificate in education,0
10007849,University of Abertay Dundee,All,All,Level of qualification,Other postgraduate taught,85
10007849,University of Abertay Dundee,All,All,Level of qualification,First degree,880
10007849,University of Abertay Dundee,All,All,Level of qualification,Foundation degree,0
10007849,University of Abertay Dundee,All,All,Level of qualification,HNC/HND,0
10007849,University of Abertay Dundee,All,All,Level of qualification,Masters taught,90
10007849,University of Abertay Dundee,All,All,Level of qualification,Doctorate research,20
10007849,University of Abertay Dundee,All,All,Level of qualification,Professional graduate certificate in education,0
10007849,University of Abertay Dundee,All,All,Level of qualification,Other undergraduate,50
10007849,University of Abertay Dundee,All,All,Level of qualification,Total,1130
10007849,University of Abertay Dundee,All,All,First degree classification,First class honours,110
10007849,University of Abertay Dundee,All,All,First degree classification,Upper second class honours,410
10007849,University of Abertay Dundee,All,All,First degree classification,Lower second class honours,210
10007849,University of Abertay Dundee,All,All,First degree classification,Third class honours/Pass,10
10007849,University of Abertay Dundee,All,All,First degree classification,Unclassified,140
10007849,University of Abertay Dundee,All,All,First degree classification,Classification not applicable,245
10007849,University of Abertay Dundee,All,All,Level of qualification,Total undergraduate,930
10007849,University of Abertay Dundee,All,All,Level of qualification,Total postgraduate,195
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Other postgraduate research,0
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Postgraduate certificate in education,0
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Other postgraduate taught,85
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,First degree,880
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Foundation degree,0
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,HNC/HND,0
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Masters taught,90
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Doctorate research,20
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Professional graduate certificate in education,0
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Other undergraduate,50
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Total,1130
10007849,University of Abertay Dundee,Scotland,All,First degree classification,First class honours,110
10007849,University of Abertay Dundee,Scotland,All,First degree classification,Upper second class honours,410
10007849,University of Abertay Dundee,Scotland,All,First degree classification,Lower second class honours,210
10007849,University of Abertay Dundee,Scotland,All,First degree classification,Third class honours/Pass,10
10007849,University of Abertay Dundee,Scotland,All,First degree classification,Unclassified,140
10007849,University of Abertay Dundee,Scotland,All,First degree classification,Classification not applicable,245
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Total undergraduate,930
10007849,University of Abertay Dundee,Scotland,All,Level of qualification,Total postgraduate,195
10007856,Aberystwyth University,All,All,Level of qualification,Other postgraduate research,15
10007856,Aberystwyth University,All,All,Level of qualification,Postgraduate certificate in education,45
10007856,Aberystwyth University,All,All,Level of qualification,Other postgraduate taught,80
10007856,Aberystwyth University,All,All,Level of qualification,First degree,1720
10007856,Aberystwyth University,All,All,Level of qualification,Foundation degree,20
10007856,Aberystwyth University,All,All,Level of qualification,HNC/HND,0
10007856,Aberystwyth University,All,All,Level of qualification,Masters taught,255
10007856,Aberystwyth University,All,All,Level of qualification,Doctorate research,85
10007856,Aberystwyth University,All,All,Level of qualification,Professional graduate certificate in education,0
10007856,Aberystwyth University,All,All,Level of qualification,Other undergraduate,235
10007856,Aberystwyth University,All,All,Level of qualification,Total,2460
10007856,Aberystwyth University,All,All,First degree classification,First class honours,315
10007856,Aberystwyth University,All,All,First degree classification,Upper second class honours,845
10007856,Aberystwyth University,All,All,First degree classification,Lower second class honours,505
10007856,Aberystwyth University,All,All,First degree classification,Third class honours/Pass,55
10007856,Aberystwyth University,All,All,First degree classification,Unclassified,0
10007856,Aberystwyth University,All,All,First degree classification,Classification not applicable,740
10007856,Aberystwyth University,All,All,Level of qualification,Total undergraduate,1980
10007856,Aberystwyth University,All,All,Level of qualification,Total postgraduate,480
10007856,Aberystwyth University,Wales,All,Level of qualification,Other postgraduate research,15
10007856,Aberystwyth University,Wales,All,Level of qualification,Postgraduate certificate in education,45
10007856,Aberystwyth University,Wales,All,Level of qualification,Other postgraduate taught,80
10007856,Aberystwyth University,Wales,All,Level of qualification,First degree,1720
10007856,Aberystwyth University,Wales,All,Level of qualification,Foundation degree,20
10007856,Aberystwyth University,Wales,All,Level of qualification,HNC/HND,0
10007856,Aberystwyth University,Wales,All,Level of qualification,Masters taught,255
10007856,Aberystwyth University,Wales,All,Level of qualification,Doctorate research,85
10007856,Aberystwyth University,Wales,All,Level of qualification,Professional graduate certificate in education,0
10007856,Aberystwyth University,Wales,All,Level of qualification,Other undergraduate,235
10007856,Aberystwyth University,Wales,All,Level of qualification,Total,2460
10007856,Aberystwyth University,Wales,All,First degree classification,First class honours,315
10007856,Aberystwyth University,Wales,All,First degree classification,Upper second class honours,845
10007856,Aberystwyth University,Wales,All,First degree classification,Lower second class honours,505
10007856,Aberystwyth University,Wales,All,First degree classification,Third class honours/Pass,55
10007856,Aberystwyth University,Wales,All,First degree classification,Unclassified,0
10007856,Aberystwyth University,Wales,All,First degree classification,Classification not applicable,740
10007856,Aberystwyth University,Wales,All,Level of qualification,Total undergraduate,1980
10007856,Aberystwyth University,Wales,All,Level of qualification,Total postgraduate,480
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Other postgraduate research,0
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Postgraduate certificate in education,0
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Other postgraduate taught,430
10000291,Anglia Ruskin University,England,East of England,Level of qualification,First degree,4190
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Foundation degree,365
10000291,Anglia Ruskin University,England,East of England,Level of qualification,HNC/HND,40
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Masters taught,1055
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Doctorate research,85
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Professional graduate certificate in education,0
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Other undergraduate,800
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Total,6960
10000291,Anglia Ruskin University,England,East of England,First degree classification,First class honours,1280
10000291,Anglia Ruskin University,England,East of England,First degree classification,Upper second class honours,1695
10000291,Anglia Ruskin University,England,East of England,First degree classification,Lower second class honours,910
10000291,Anglia Ruskin University,England,East of England,First degree classification,Third class honours/Pass,290
10000291,Anglia Ruskin University,England,East of England,First degree classification,Unclassified,10
10000291,Anglia Ruskin University,England,East of England,First degree classification,Classification not applicable,2770
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Total undergraduate,5390
10000291,Anglia Ruskin University,England,East of England,Level of qualification,Total postgraduate,1570
10000291,Anglia Ruskin University,All,All,Level of qualification,Other postgraduate research,0
10000291,Anglia Ruskin University,All,All,Level of qualification,Postgraduate certificate in education,0
10000291,Anglia Ruskin University,All,All,Level of qualification,Other postgraduate taught,430
10000291,Anglia Ruskin University,All,All,Level of qualification,First degree,4190
10000291,Anglia Ruskin University,All,All,Level of qualification,Foundation degree,365
10000291,Anglia Ruskin University,All,All,Level of qualification,HNC/HND,40
10000291,Anglia Ruskin University,All,All,Level of qualification,Masters taught,1055
10000291,Anglia Ruskin University,All,All,Level of qualification,Doctorate research,85
10000291,Anglia Ruskin University,All,All,Level of qualification,Professional graduate certificate in education,0
10000291,Anglia Ruskin University,All,All,Level of qualification,Other undergraduate,800
10000291,Anglia Ruskin University,All,All,Level of qualification,Total,6960
10000291,Anglia Ruskin University,All,All,First degree classification,First class honours,1280
10000291,Anglia Ruskin University,All,All,First degree classification,Upper second class honours,1695
10000291,Anglia Ruskin University,All,All,First degree classification,Lower second class honours,910
10000291,Anglia Ruskin University,All,All,First degree classification,Third class honours/Pass,290
10000291,Anglia Ruskin University,All,All,First degree classification,Unclassified,10
10000291,Anglia Ruskin University,All,All,First degree classification,Classification not applicable,2770
10000291,Anglia Ruskin University,All,All,Level of qualification,Total undergraduate,5390
10000291,Anglia Ruskin University,All,All,Level of qualification,Total postgraduate,1570
10000291,Anglia Ruskin University,England,All,Level of qualification,Other postgraduate research,0
10000291,Anglia Ruskin University,England,All,Level of qualification,Postgraduate certificate in education,0
10000291,Anglia Ruskin University,England,All,Level of qualification,Other postgraduate taught,430
10000291,Anglia Ruskin University,England,All,Level of qualification,First degree,4190
10000291,Anglia Ruskin University,England,All,Level of qualification,Foundation degree,365
10000291,Anglia Ruskin University,England,All,Level of qualification,HNC/HND,40
10000291,Anglia Ruskin University,England,All,Level of qualification,Masters taught,1055
10000291,Anglia Ruskin University,England,All,Level of qualification,Doctorate research,85
10000291,Anglia Ruskin University,England,All,Level of qualification,Professional graduate certificate in education,0
10000291,Anglia Ruskin University,England,All,Level of qualification,Other undergraduate,800
10000291,Anglia Ruskin University,England,All,Level of qualification,Total,6960
10000291,Anglia Ruskin University,England,All,First degree classification,First class honours,1280
10000291,Anglia Ruskin University,England,All,First degree classification,Upper second class honours,1695
10000291,Anglia Ruskin University,England,All,First degree classification,Lower second class honours,910
10000291,Anglia Ruskin University,England,All,First degree classification,Third class honours/Pass,290
10000291,Anglia Ruskin University,England,All,First degree classification,Unclassified,10
10000291,Anglia Ruskin University,England,All,First degree classification,Classification not applicable,2770
10000291,Anglia Ruskin University,England,All,Level of qualification,Total undergraduate,5390
10000291,Anglia Ruskin University,England,All,Level of qualification,Total postgraduate,1570
10007759,Aston University,England,West Midlands,Level of qualification,Other postgraduate research,5
10007759,Aston University,England,West Midlands,Level of qualification,Postgraduate certificate in education,0
10007759,Aston University,England,West Midlands,Level of qualification,Other postgraduate taught,245
10007759,Aston University,England,West Midlands,Level of qualification,First degree,2090
10007759,Aston University,England,West Midlands,Level of qualification,Foundation degree,110
10007759,Aston University,England,West Midlands,Level of qualification,HNC/HND,0
10007759,Aston University,England,West Midlands,Level of qualification,Masters taught,930
10007759,Aston University,England,West Midlands,Level of qualification,Doctorate research,75
10007759,Aston University,England,West Midlands,Level of qualification,Professional graduate certificate in education,0
10007759,Aston University,England,West Midlands,Level of qualification,Other undergraduate,175
10007759,Aston University,England,West Midlands,Level of qualification,Total,3635
10007759,Aston University,England,West Midlands,First degree classification,First class honours,615
10007759,Aston University,England,West Midlands,First degree classification,Upper second class honours,1065
10007759,Aston University,England,West Midlands,First degree classification,Lower second class honours,330
10007759,Aston University,England,West Midlands,First degree classification,Third class honours/Pass,55
10007759,Aston University,England,West Midlands,First degree classification,Unclassified,25
10007759,Aston University,England,West Midlands,First degree classification,Classification not applicable,1545
10007759,Aston University,England,West Midlands,Level of qualification,Total undergraduate,2375
10007759,Aston University,England,West Midlands,Level of qualification,Total postgraduate,1260
10007759,Aston University,All,All,Level of qualification,Other postgraduate research,5
10007759,Aston University,All,All,Level of qualification,Postgraduate certificate in education,0
10007759,Aston University,All,All,Level of qualification,Other postgraduate taught,245
10007759,Aston University,All,All,Level of qualification,First degree,2090
10007759,Aston University,All,All,Level of qualification,Foundation degree,110
10007759,Aston University,All,All,Level of qualification,HNC/HND,0
10007759,Aston University,All,All,Level of qualification,Masters taught,930
10007759,Aston University,All,All,Level of qualification,Doctorate research,75
10007759,Aston University,All,All,Level of qualification,Professional graduate certificate in education,0
10007759,Aston University,All,All,Level of qualification,Other undergraduate,175
10007759,Aston University,All,All,Level of qualification,Total,3635
10007759,Aston University,All,All,First degree classification,First class honours,615
10007759,Aston University,All,All,First degree classification,Upper second class honours,1065
10007759,Aston University,All,All,First degree classification,Lower second class honours,330
10007759,Aston University,All,All,First degree classification,Third class honours/Pass,55
10007759,Aston University,All,All,First degree classification,Unclassified,25
10007759,Aston University,All,All,First degree classification,Classification not applicable,1545
10007759,Aston University,All,All,Level of qualification,Total undergraduate,2375
10007759,Aston University,All,All,Level of qualification,Total postgraduate,1260
10007759,Aston University,England,All,Level of qualification,Other postgraduate research,5
10007759,Aston University,England,All,Level of qualification,Postgraduate certificate in education,0
10007759,Aston University,England,All,Level of qualification,Other postgraduate taught,245
10007759,Aston University,England,All,Level of qualification,First degree,2090
10007759,Aston University,England,All,Level of qualification,Foundation degree,110
10007759,Aston University,England,All,Level of qualification,HNC/HND,0
10007759,Aston University,England,All,Level of qualification,Masters taught,930
10007759,Aston University,England,All,Level of qualification,Doctorate research,75
10007759,Aston University,England,All,Level of qualification,Professional graduate certificate in education,0
10007759,Aston University,England,All,Level of qualification,Other undergraduate,175
10007759,Aston University,England,All,Level of qualification,Total,3635
10007759,Aston University,England,All,First degree classification,First class honours,615
10007759,Aston University,England,All,First degree classification,Upper second class honours,1065
10007759,Aston University,England,All,First degree classification,Lower second class honours,330
10007759,Aston University,England,All,First degree classification,Third class honours/Pass,55
10007759,Aston University,England,All,First degree classification,Unclassified,25
10007759,Aston University,England,All,First degree classification,Classification not applicable,1545
10007759,Aston University,England,All,Level of qualification,Total undergraduate,2375
10007759,Aston University,England,All,Level of qualification,Total postgraduate,1260
10007857,Bangor University,All,All,Level of qualification,Other postgraduate research,25
10007857,Bangor University,All,All,Level of qualification,Postgraduate certificate in education,175
10007857,Bangor University,All,All,Level of qualification,Other postgraduate taught,130
10007857,Bangor University,All,All,Level of qualification,First degree,2145
10007857,Bangor University,All,All,Level of qualification,Foundation degree,10
10007857,Bangor University,All,All,Level of qualification,HNC/HND,10
10007857,Bangor University,All,All,Level of qualification,Masters taught,990
10007857,Bangor University,All,All,Level of qualification,Doctorate research,130
10007857,Bangor University,All,All,Level of qualification,Professional graduate certificate in education,0
10007857,Bangor University,All,All,Level of qualification,Other undergraduate,65
10007857,Bangor University,All,All,Level of qualification,Total,3680
10007857,Bangor University,All,All,First degree classification,First class honours,540
10007857,Bangor University,All,All,First degree classification,Upper second class honours,940
10007857,Bangor University,All,All,First degree classification,Lower second class honours,515
10007857,Bangor University,All,All,First degree classification,Third class honours/Pass,140
10007857,Bangor University,All,All,First degree classification,Unclassified,5
10007857,Bangor University,All,All,First degree classification,Classification not applicable,1535
10007857,Bangor University,All,All,Level of qualification,Total undergraduate,2230
10007857,Bangor University,All,All,Level of qualification,Total postgraduate,1450
10007857,Bangor University,Wales,All,Level of qualification,Other postgraduate research,25
10007857,Bangor University,Wales,All,Level of qualification,Postgraduate certificate in education,175
10007857,Bangor University,Wales,All,Level of qualification,Other postgraduate taught,130
10007857,Bangor University,Wales,All,Level of qualification,First degree,2145
10007857,Bangor University,Wales,All,Level of qualification,Foundation degree,10
10007857,Bangor University,Wales,All,Level of qualification,HNC/HND,10
10007857,Bangor University,Wales,All,Level of qualification,Masters taught,990
10007857,Bangor University,Wales,All,Level of qualification,Doctorate research,130
10007857,Bangor University,Wales,All,Level of qualification,Professional graduate certificate in education,0
10007857,Bangor University,Wales,All,Level of qualification,Other undergraduate,65
10007857,Bangor University,Wales,All,Level of qualification,Total,3680
10007857,Bangor University,Wales,All,First degree classification,First class honours,540
10007857,Bangor University,Wales,All,First degree classification,Upper second class honours,940
10007857,Bangor University,Wales,All,First degree classification,Lower second class honours,515
10007857,Bangor University,Wales,All,First degree classification,Third class honours/Pass,140
10007857,Bangor University,Wales,All,First degree classification,Unclassified,5
10007857,Bangor University,Wales,All,First degree classification,Classification not applicable,1535
10007857,Bangor University,Wales,All,Level of qualification,Total undergraduate,2230
10007857,Bangor University,Wales,All,Level of qualification,Total postgraduate,1450
10000571,Bath Spa University,England,South West,Level of qualification,Other postgraduate research,0
10000571,Bath Spa University,England,South West,Level of qualification,Postgraduate certificate in education,360
10000571,Bath Spa University,England,South West,Level of qualification,Other postgraduate taught,190
10000571,Bath Spa University,England,South West,Level of qualification,First degree,1655
10000571,Bath Spa University,England,South West,Level of qualification,Foundation degree,140
10000571,Bath Spa University,England,South West,Level of qualification,HNC/HND,0
10000571,Bath Spa University,England,South West,Level of qualification,Masters taught,355
10000571,Bath Spa University,England,South West,Level of qualification,Doctorate research,15
10000571,Bath Spa University,England,South West,Level of qualification,Professional graduate certificate in education,15
10000571,Bath Spa University,England,South West,Level of qualification,Other undergraduate,220
10000571,Bath Spa University,England,South West,Level of qualification,Total,2950
10000571,Bath Spa University,England,South West,First degree classification,First class honours,240
10000571,Bath Spa University,England,South West,First degree classification,Upper second class honours,985
10000571,Bath Spa University,England,South West,First degree classification,Lower second class honours,340
10000571,Bath Spa University,England,South West,First degree classification,Third class honours/Pass,80
10000571,Bath Spa University,England,South West,First degree classification,Unclassified,10
10000571,Bath Spa University,England,South West,First degree classification,Classification not applicable,1295
10000571,Bath Spa University,England,South West,Level of qualification,Total undergraduate,2030
10000571,Bath Spa University,England,South West,Level of qualification,Total postgraduate,920
10000571,Bath Spa University,All,All,Level of qualification,Other postgraduate research,0
10000571,Bath Spa University,All,All,Level of qualification,Postgraduate certificate in education,360
10000571,Bath Spa University,All,All,Level of qualification,Other postgraduate taught,190
10000571,Bath Spa University,All,All,Level of qualification,First degree,1655
10000571,Bath Spa University,All,All,Level of qualification,Foundation degree,140
10000571,Bath Spa University,All,All,Level of qualification,HNC/HND,0
10000571,Bath Spa University,All,All,Level of qualification,Masters taught,355
10000571,Bath Spa University,All,All,Level of qualification,Doctorate research,15
10000571,Bath Spa University,All,All,Level of qualification,Professional graduate certificate in education,15
10000571,Bath Spa University,All,All,Level of qualification,Other undergraduate,220
10000571,Bath Spa University,All,All,Level of qualification,Total,2950
10000571,Bath Spa University,All,All,First degree classification,First class honours,240
10000571,Bath Spa University,All,All,First degree classification,Upper second class honours,985
10000571,Bath Spa University,All,All,First degree classification,Lower second class honours,340
10000571,Bath Spa University,All,All,First degree classification,Third class honours/Pass,80
10000571,Bath Spa University,All,All,First degree classification,Unclassified,10
10000571,Bath Spa University,All,All,First degree classification,Classification not applicable,1295
10000571,Bath Spa University,All,All,Level of qualification,Total undergraduate,2030
10000571,Bath Spa University,All,All,Level of qualification,Total postgraduate,920
10000571,Bath Spa University,England,All,Level of qualification,Other postgraduate research,0
10000571,Bath Spa University,England,All,Level of qualification,Postgraduate certificate in education,360
10000571,Bath Spa University,England,All,Level of qualification,Other postgraduate taught,190
10000571,Bath Spa University,England,All,Level of qualification,First degree,1655
10000571,Bath Spa University,England,All,Level of qualification,Foundation degree,140
10000571,Bath Spa University,England,All,Level of qualification,HNC/HND,0
10000571,Bath Spa University,England,All,Level of qualification,Masters taught,355
10000571,Bath Spa University,England,All,Level of qualification,Doctorate research,15
10000571,Bath Spa University,England,All,Level of qualification,Professional graduate certificate in education,15
10000571,Bath Spa University,England,All,Level of qualification,Other undergraduate,220
10000571,Bath Spa University,England,All,Level of qualification,Total,2950
10000571,Bath Spa University,England,All,First degree classification,First class honours,240
10000571,Bath Spa University,England,All,First degree classification,Upper second class honours,985
10000571,Bath Spa University,England,All,First degree classification,Lower second class honours,340
10000571,Bath Spa University,England,All,First degree classification,Third class honours/Pass,80
10000571,Bath Spa University,England,All,First degree classification,Unclassified,10
10000571,Bath Spa University,England,All,First degree classification,Classification not applicable,1295
10000571,Bath Spa University,England,All,Level of qualification,Total undergraduate,2030
10000571,Bath Spa University,England,All,Level of qualification,Total postgraduate,920
10007850,The University of Bath,England,South West,Level of qualification,Other postgraduate research,10
10007850,The University of Bath,England,South West,Level of qualification,Postgraduate certificate in education,0
10007850,The University of Bath,England,South West,Level of qualification,Other postgraduate taught,230
10007850,The University of Bath,England,South West,Level of qualification,First degree,2865
10007850,The University of Bath,England,South West,Level of qualification,Foundation degree,65
10007850,The University of Bath,England,South West,Level of qualification,HNC/HND,0
10007850,The University of Bath,England,South West,Level of qualification,Masters taught,1440
10007850,The University of Bath,England,South West,Level of qualification,Doctorate research,225
10007850,The University of Bath,England,South West,Level of qualification,Professional graduate certificate in education,0
10007850,The University of Bath,England,South West,Level of qualification,Other undergraduate,110
10007850,The University of Bath,England,South West,Level of qualification,Total,4950
10007850,The University of Bath,England,South West,First degree classification,First class honours,885
10007850,The University of Bath,England,South West,First degree classification,Upper second class honours,1590
10007850,The University of Bath,England,South West,First degree classification,Lower second class honours,350
10007850,The University of Bath,England,South West,First degree classification,Third class honours/Pass,40
10007850,The University of Bath,England,South West,First degree classification,Unclassified,0
10007850,The University of Bath,England,South West,First degree classification,Classification not applicable,2080
10007850,The University of Bath,England,South West,Level of qualification,Total undergraduate,3045
10007850,The University of Bath,England,South West,Level of qualification,Total postgraduate,1905
10007850,The University of Bath,All,All,Level of qualification,Other postgraduate research,10
10007850,The University of Bath,All,All,Level of qualification,Postgraduate certificate in education,0
10007850,The University of Bath,All,All,Level of qualification,Other postgraduate taught,230
10007850,The University of Bath,All,All,Level of qualification,First degree,2865
10007850,The University of Bath,All,All,Level of qualification,Foundation degree,65
10007850,The University of Bath,All,All,Level of qualification,HNC/HND,0
10007850,The University of Bath,All,All,Level of qualification,Masters taught,1440
10007850,The University of Bath,All,All,Level of qualification,Doctorate research,225
10007850,The University of Bath,All,All,Level of qualification,Professional graduate certificate in education,0
10007850,The University of Bath,All,All,Level of qualification,Other undergraduate,110
10007850,The University of Bath,All,All,Level of qualification,Total,4950
10007850,The University of Bath,All,All,First degree classification,First class honours,885
10007850,The University of Bath,All,All,First degree classification,Upper second class honours,1590
10007850,The University of Bath,All,All,First degree classification,Lower second class honours,350
10007850,The University of Bath,All,All,First degree classification,Third class honours/Pass,40
10007850,The University of Bath,All,All,First degree classification,Unclassified,0
10007850,The University of Bath,All,All,First degree classification,Classification not applicable,2080
10007850,The University of Bath,All,All,Level of qualification,Total undergraduate,3045
10007850,The University of Bath,All,All,Level of qualification,Total postgraduate,1905
10007850,The University of Bath,England,All,Level of qualification,Other postgraduate research,10
10007850,The University of Bath,England,All,Level of qualification,Postgraduate certificate in education,0
10007850,The University of Bath,England,All,Level of qualification,Other postgraduate taught,230
10007850,The University of Bath,England,All,Level of qualification,First degree,2865
10007850,The University of Bath,England,All,Level of qualification,Foundation degree,65
10007850,The University of Bath,England,All,Level of qualification,HNC/HND,0
10007850,The University of Bath,England,All,Level of qualification,Masters taught,1440
10007850,The University of Bath,England,All,Level of qualification,Doctorate research,225
10007850,The University of Bath,England,All,Level of qualification,Professional graduate certificate in education,0
10007850,The University of Bath,England,All,Level of qualification,Other undergraduate,110
10007850,The University of Bath,England,All,Level of qualification,Total,4950
10007850,The University of Bath,England,All,First degree classification,First class honours,885
10007850,The University of Bath,England,All,First degree classification,Upper second class honours,1590
10007850,The University of Bath,England,All,First degree classification,Lower second class honours,350
10007850,The University of Bath,England,All,First degree classification,Third class honours/Pass,40
10007850,The University of Bath,England,All,First degree classification,Unclassified,0
10007850,The University of Bath,England,All,First degree classification,Classification not applicable,2080
10007850,The University of Bath,England,All,Level of qualification,Total undergraduate,3045
10007850,The University of Bath,England,All,Level of qualification,Total postgraduate,1905
10007152,University of Bedfordshire,England,East of England,Level of qualification,Other postgraduate research,15
10007152,University of Bedfordshire,England,East of England,Level of qualification,Postgraduate certificate in education,115
10007152,University of Bedfordshire,England,East of England,Level of qualification,Other postgraduate taught,515
10007152,University of Bedfordshire,England,East of England,Level of qualification,First degree,2515
10007152,University of Bedfordshire,England,East of England,Level of qualification,Foundation degree,135
10007152,University of Bedfordshire,England,East of England,Level of qualification,HNC/HND,25
10007152,University of Bedfordshire,England,East of England,Level of qualification,Masters taught,810
10007152,University of Bedfordshire,England,East of England,Level of qualification,Doctorate research,45
10007152,University of Bedfordshire,England,East of England,Level of qualification,Professional graduate certificate in education,10
10007152,University of Bedfordshire,England,East of England,Level of qualification,Other undergraduate,690
10007152,University of Bedfordshire,England,East of England,Level of qualification,Total,4880
10007152,University of Bedfordshire,England,East of England,First degree classification,First class honours,500
10007152,University of Bedfordshire,England,East of England,First degree classification,Upper second class honours,1100
10007152,University of Bedfordshire,England,East of England,First degree classification,Lower second class honours,700
10007152,University of Bedfordshire,England,East of England,First degree classification,Third class honours/Pass,220
10007152,University of Bedfordshire,England,East of England,First degree classification,Unclassified,0
10007152,University of Bedfordshire,England,East of England,First degree classification,Classification not applicable,2365
10007152,University of Bedfordshire,England,East of England,Level of qualification,Total undergraduate,3375
10007152,University of Bedfordshire,England,East of England,Level of qualification,Total postgraduate,1505
10007152,University of Bedfordshire,All,All,Level of qualification,Other postgraduate research,15
10007152,University of Bedfordshire,All,All,Level of qualification,Postgraduate certificate in education,115
