﻿Title:,Table 19 - HE qualifiers by HE provider and subject of study
Subtitle:,2016/17
Reference ID:,DT051 Table 19
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-19
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-19.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2018
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Level of study,All 
Search:,


"UKPRN","HE provider","(1) Medicine and dentistry","(2) Subjects allied to medicine","(3) Biological sciences","(4) Veterinary science","(5) Agriculture and related subjects","(6) Physical sciences","(7) Mathematical sciences","(8) Computer science","(9) Engineering and technology","(A) Architecture, building and planning","(B) Social studies","(C) Law","(D) Business and administrative studies","(E) Mass communications and documentation","(F) Languages","(G) Historical and philosophical studies","(H) Creative arts and design","(I) Education","(J) Combined","Subject area total"
"10007772","Edinburgh Napier University","0","615","395","0","50","0","0","470","385","140","170","60","1,275","180","70","0","295","0","0","4,110"
"10007790","The University of Edinburgh","640","415","1,045","160","155","680","225","530","530","435","1,140","725","810","55","855","845","490","955","145","10,830"
"10007791","The University of Essex","0","545","805","0","15","0","50","160","50","10","780","415","1,025","15","335","255","460","5","0","4,920"
"10007792","The University of Exeter","105","170","1,150","0","0","420","220","60","295","0","1,290","465","1,235","0","1,345","560","155","625","275","8,370"
"10008640","Falmouth University","0","0","0","0","0","0","0","45","0","15","0","0","125","155","60","0","1,095","20","0","1,520"
"10004511","The National Film and Television School","0","0","0","0","0","0","0","5","0","0","0","0","0","105","0","0","0","0","0","115"
"10007762","Glasgow Caledonian University","10","1,370","325","0","0","45","0","335","545","305","330","35","1,410","145","0","0","75","5","0","4,940"
"10002681","Glasgow School of Art","0","20","0","0","0","0","0","0","15","150","0","0","0","0","0","0","565","15","0","765"
"10007794","The University of Glasgow","805","350","835","160","70","470","185","325","530","175","1,100","555","1,500","75","595","635","300","1,310","0","9,980"
"10007145","University of Gloucestershire","0","60","555","0","5","25","0","120","5","35","300","40","460","105","40","60","435","620","5","2,870"
"10007833","Glyndŵr University","0","200","75","0","50","20","0","80","330","60","145","0","185","40","10","100","145","255","0","1,690"
"10002718","Goldsmiths College","0","40","305","0","0","0","0","150","0","20","645","0","55","465","230","260","890","445","0","3,505"
"10007146","The University of Greenwich","0","980","390","0","165","110","110","490","360","300","365","130","1,645","30","105","50","360","860","0","6,455"
"10007825","Guildhall School of Music and Drama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","340","0","0","340"
"10040812","Harper Adams University","0","0","20","95","760","0","0","0","80","0","0","0","65","0","0","0","0","10","0","1,025"
"10007764","Heriot-Watt University","0","0","355","0","70","210","335","140","780","225","50","15","905","0","340","0","195","15","0","3,635"
"10007147","University of Hertfordshire","0","1,690","555","0","10","120","65","390","445","10","250","465","1,470","70","90","55","960","825","45","7,515"
"10007765","Heythrop College","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","205","0","0","0","205"
"10007148","The University of Huddersfield","0","750","450","0","5","165","0","260","535","105","440","170","1,380","160","105","70","740","965","15","6,310"
"10007149","The University of Hull","100","645","530","0","0","355","30","175","180","0","510","185","1,040","25","220","240","140","585","0","4,960"
"10003270","Imperial College of Science, Technology and Medicine","1,445","55","495","0","0","1,050","365","400","1,980","0","0","0","1,390","45","5","0","0","25","0","7,260"
"10007767","Keele University","170","935","405","0","0","210","105","70","5","0","335","165","430","40","140","100","50","60","0","3,220"
"10007150","The University of Kent","0","115","785","0","25","215","135","365","100","170","1,030","505","1,015","65","595","455","490","90","0","6,155"
"10003645","King's College London","1,245","2,240","730","0","0","300","280","260","130","0","1,905","900","675","390","910","655","75","570","0","11,275"
