Statistic,University League Table 2017
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
65,Oxford Brookes,335,4.15,2.66,0.39,68.6,18.3,927,411,74.9,90.1,624
66,Norwich University of the Arts,343,4.15,2.69,0.18,63.1,17.8,1099,132,67.9,88.5,621
67,"West of England, Bristol",323,4.03,2.70,0.29,70.4,18.5,1263,806,73.3,83.0,614
68,Hull,335,4.05,2.70,0.56,66.5,16.2,1400,551,70.4,84.0,606
69,Roehampton,275,4.02,2.83,0.67,60.0,14.9,1814,560,70.3,78.7,604
70,Ulster,307,4.18,2.91,0.84,62.3,17.1,1195,531,65.9,81.1,600
71,Edge Hill,327,4.16,2.22,0.27,63.1,14.8,1378,524,69.8,84.7,599
72,Cardiff Metropolitan,315,4.03,3.00,0.09,59.0,17.9,1246,711,67.5,82.3,598
72,Sheffield Hallam,304,4.03,2.76,0.16,64.7,16.5,1587,457,66.0,86.4,598
74,Liverpool John Moores,342,4.12,2.79,0.26,63.0,18.1,1087,287,73.0,84.4,596
74,Winchester,293,4.17,2.32,0.30,60.5,16.7,901,323,77.3,88.7,596
76,Bath Spa,321,4.20,2.52,0.30,54.5,18.5,1231,262,72.8,87.1,586
76,Arts University Bournemouth,322,4.07,2.30,0.13,61.4,14.9,788,235,62.2,91.6,586
78,Middlesex,297,4.02,2.58,0.35,64.7,16.3,2692,605,62.2,74.7,580
79,Hertfordshire,302,4.01,2.61,0.21,74.7,17.5,1168,925,65.0,82.1,577
80,Chichester,298,4.17,2.50,0.25,56.9,16.0,823,430,69.0,89.1,575
81,Huddersfield,331,4.13,2.65,0.32,73.6,20.6,1254,425,65.1,81.8,572
82,Glasgow Caledonian,385,3.98,2.67,0.24,70.1,21.1,1256,292,73.0,83.3,568
83,Liverpool Hope,307,4.28,2.21,0.53,53.4,16.2,872,1116,66.2,79.6,567
84,Plymouth,314,4.08,2.74,0.50,60.1,16.4,1085,425,69.9,84.9,566
85,"University of the Arts, London",314,3.92,3.12,0.17,59.0,17.0,1392,215,62.7,83.7,561
86,Abertay,338,4.04,2.16,0.36,65.6,19.3,1045,767,70.9,77.2,557
87,Aberystwyth,289,4.01,2.84,0.76,62.3,19.1,1106,548,66.9,88.6,555
87,Northampton,280,4.14,2.09,0.25,59.4,18.6,1344,1031,66.3,85.8,555
89,Gloucestershire,319,4.06,2.38,0.18,55.2,18.3,1340,454,69.0,86.5,551
90,Brighton,301,4.00,2.84,0.21,66.6,17.4,912,431,66.9,84.0,550
91,Derby,302,4.16,2.07,0.19,59.1,14.8,1277,417,66.1,81.8,546
92,Edinburgh Napier,337,4.05,2.52,0.19,68.6,20.1,887,327,73.9,82.4,544
93,Queen Margaret,350,4.02,2.65,0.22,58.2,18.3,1015,347,73.2,79.7,540
94,Chester,303,4.12,2.08,0.29,63.1,14.0,1382,485,63.8,80.4,539
95,Salford,316,4.05,2.54,0.33,59.2,16.7,1193,448,71.3,79.9,535
95,Birmingham City,316,3.96,2.64,0.14,64.3,19.1,1147,557,65.2,86.5,535
97,Worcester,300,4.09,2.08,0.30,63.1,17.3,710,517,65.8,85.7,526
98,Greenwich,337,4.08,2.33,0.25,58.1,18.6,1186,525,65.0,83.3,525
99,South Wales,321,3.97,2.51,0.16,58.4,17.4,1114,523,64.9,82.3,515
99,Central Lancashire,317,4.06,2.51,0.24,62.3,16.8,1565,495,62.0,78.1,515
101,Staffordshire,274,4.11,2.20,0.33,57.7,15.7,1462,313,67.3,77.3,506
102,Westminster,315,3.96,2.74,0.29,54.9,19.8,1256,298,68.6,81.5,503
103,Leeds Trinity,284,4.11,2.01,0.17,65.8,21.6,1116,379,74.7,85.0,502
103,Royal Agricultural University,301,4.01,1.40,0.26,69.7,20.8,1888,863,62.2,93.7,502
103,Sunderland,289,4.10,2.12,0.39,62.2,16.3,1122,571,54.6,80.3,502
106,West London,301,3.99,1.92,0.13,60.0,15.6,1399,1115,61.3,74.9,498
107,York St John,300,4.11,2.04,0.29,64.8,18.5,913,428,59.2,87.0,490
107,Teesside,305,4.13,2.58,0.14,59.2,17.4,1335,481,57.5,80.5,490
109,Kingston,288,3.97,2.70,0.16,60.6,19.3,1287,496,64.3,81.3,485
110,Anglia Ruskin,254,4.14,2.37,0.27,64.7,17.3,1204,474,64.8,80.7,483
110,West of Scotland,316,4.08,2.36,0.22,65.1,19.8,1033,329,65.5,79.0,483
112,Canterbury Christ Church,270,4.02,2.38,0.23,57.6,16.0,1001,377,66.8,80.8,475
113,Buckinghamshire New,256,4.07,2.19,0.09,57.1,17.6,726,1342,55.3,79.7,460
114,Leeds Beckett,288,3.98,2.16,0.24,58.3,20.7,932,499,65.3,78.7,446
115,Southampton Solent,275,4.02,1.63,0.07,54.1,16.9,1051,621,67.7,78.5,443
115,London South Bank,254,3.99,2.52,0.41,67.4,17.2,1450,437,60.4,73.1,443
117,Newman,298,4.15,2.13,0.20,52.6,16.9,1207,377,59.1,79.4,442
118,"St Mary's, Twickenham",291,4.13,1.98,0.23,66.6,20.2,757,358,59.4,81.3,440
119,Bishop Grosseteste,284,4.07,1.96,0.17,67.8,25.1,421,419,67.9,90.0,438
120,Bedfordshire,234,4.08,2.52,0.27,57.9,17.4,1461,599,50.4,76.3,423
121,Cumbria,286,3.93,2.13,0.08,64.5,19.7,862,402,61.6,84.3,422
122,Bolton,283,4.10,2.04,0.20,59.9,15.9,735,380,55.0,71.1,406
123,University of Wales Trinity Saint David,284,3.99,2.39,0.12,50.2,17.4,1126,661,51.2,79.7,397
124,Plymouth Marjon,288,3.92,,,60.5,21.5,706,1128,60.6,82.1,379
125,Wrexham Glyndŵr,236,4.10,2.15,0.16,66.1,22.1,1447,412,55.6,74.3,378
126,East London,277,3.93,2.71,0.23,45.2,20.0,1219,731,59.1,73.4,376
127,London Metropolitan,247,4.00,2.44,0.15,47.0,17.4,736,571,52.6,71.0,322
